iter	MultiClass
0	1.931239996
1	1.917168763
2	1.901149842
3	1.891430456
4	1.879797588
5	1.865371031
6	1.852979161
7	1.842806296
8	1.829711782
9	1.818062895
10	1.808329844
11	1.799824661
12	1.785359883
13	1.773508887
14	1.759966449
15	1.747556284
16	1.735852765
17	1.727547206
18	1.71473343
19	1.702255629
20	1.693269525
21	1.683477912
22	1.671289216
23	1.659989914
24	1.646987123
25	1.635025481
26	1.626424154
27	1.617200786
28	1.610077031
29	1.600761902
30	1.587778532
31	1.575523683
32	1.565718983
33	1.555435387
34	1.545648677
35	1.534260995
36	1.532230285
37	1.52369299
38	1.515395452
39	1.509249286
40	1.501833954
41	1.49549843
42	1.486767063
43	1.478766271
44	1.469169372
45	1.460293625
46	1.453910004
47	1.441190355
48	1.43415548
49	1.427609992
50	1.417083921
51	1.407657396
52	1.398774882
53	1.390454759
54	1.385759061
55	1.376220005
56	1.368171644
57	1.362466617
58	1.35289316
59	1.343029832
60	1.335647616
61	1.327115408
62	1.31846225
63	1.31269022
64	1.303110445
65	1.29761504
66	1.290934963
67	1.282631153
68	1.275269372
69	1.268063622
70	1.262699871
71	1.25421188
72	1.248140757
73	1.239713191
74	1.231406976
75	1.224702035
76	1.217809478
77	1.212012074
78	1.204458615
79	1.197315258
80	1.188944575
81	1.181498596
82	1.173217361
83	1.166069444
84	1.160056916
85	1.152027052
86	1.14399775
87	1.135405465
88	1.130718717
89	1.126074726
90	1.120907656
91	1.112246177
92	1.106089929
93	1.099361625
94	1.094716558
95	1.090088315
96	1.081221726
97	1.075979275
98	1.069834412
99	1.065189934
100	1.059121551
101	1.051659453
102	1.048360482
103	1.038731542
104	1.031275197
105	1.026662571
106	1.019517519
107	1.01390232
108	1.008444064
109	1.004242295
110	0.9967340527
111	0.9904497483
112	0.9864683478
113	0.9816016577
114	0.9782298057
115	0.9756393062
116	0.9694017626
117	0.9637864375
118	0.9581724345
119	0.9505183231
120	0.9452654681
121	0.9404440166
122	0.9345823767
123	0.9305001515
124	0.9235412541
125	0.9179178075
126	0.915860488
127	0.9107747718
128	0.9054832158
129	0.899575534
130	0.8945692979
131	0.8897484948
132	0.8854607077
133	0.8796401851
134	0.8740246933
135	0.8702896102
136	0.8672585312
137	0.86490875
138	0.8604801362
139	0.8550493955
140	0.8497373791
141	0.8435378602
142	0.8384789011
143	0.8357758163
144	0.8298608525
145	0.8239328786
146	0.8194689192
147	0.8164565789
148	0.8130071969
149	0.8096890276
150	0.8040522955
151	0.7989840197
152	0.7954642878
153	0.7913682089
154	0.7882776156
155	0.7845555291
156	0.7804387151
157	0.7761675299
158	0.7729487493
159	0.7699655434
160	0.7647429044
161	0.7607746771
162	0.7558500874
163	0.7528395816
164	0.7479688773
165	0.7448925274
166	0.742457153
167	0.7375478595
168	0.7318586127
169	0.729127051
170	0.7255630982
171	0.7217553896
172	0.7170012135
173	0.7144202706
174	0.71192858
175	0.708991613
176	0.7056901478
177	0.7014547614
178	0.6989269452
179	0.694479371
180	0.6919381901
181	0.6880030046
182	0.6828660944
183	0.6785831053
184	0.6749785759
185	0.6717057938
186	0.6694071837
187	0.666234182
188	0.6625644595
189	0.6592139409
190	0.6540716105
191	0.6506279781
192	0.6482940642
193	0.6453329186
194	0.6407013313
195	0.6366717749
196	0.6343026395
197	0.6306506027
198	0.628384328
199	0.6241718096
200	0.6198850278
201	0.6166378065
202	0.6150972839
203	0.6144752907
204	0.6123164016
205	0.6096741472
206	0.6076658703
207	0.6060543432
208	0.6032684013
209	0.5999599539
210	0.5970532118
211	0.5944791351
212	0.591332144
213	0.5893616375
214	0.5858441201
215	0.5829931255
216	0.5808379871
217	0.5792770394
218	0.5777627304
219	0.5749905643
220	0.5719888073
221	0.5688258724
222	0.5661636716
223	0.5635622759
224	0.5612159424
225	0.558492592
226	0.5569618762
227	0.5543404002
228	0.5517663631
229	0.549291267
230	0.547451349
231	0.5446717463
232	0.5428273257
233	0.5411456195
234	0.5391194992
235	0.5368127379
236	0.5334855389
237	0.531441113
238	0.5293298618
239	0.5264233714
240	0.5246438659
241	0.5223829606
242	0.5206822514
243	0.5181337821
244	0.5151279063
245	0.5125296776
246	0.5104501903
247	0.5089253716
248	0.5062081694
249	0.5042105337
250	0.502092732
251	0.4997093134
252	0.497249747
253	0.4962988181
254	0.4936758247
255	0.4910805111
256	0.488575502
257	0.4860187239
258	0.4846317204
259	0.4823295804
260	0.4806974011
261	0.4787317614
262	0.4765739767
263	0.4741832829
264	0.4721889738
265	0.4699750304
266	0.4680401351
267	0.4656327461
268	0.4633156664
269	0.4602949177
270	0.4584196226
271	0.4564106312
272	0.4544354613
273	0.4532200042
274	0.4517999411
275	0.44997966
276	0.4483845517
277	0.447221571
278	0.445366295
279	0.443365672
280	0.4414243678
281	0.4400990689
282	0.4382825755
283	0.4373931308
284	0.4359219215
285	0.4337355622
286	0.4326093633
287	0.4302057414
288	0.4282315847
289	0.4263314707
290	0.4247842265
291	0.4234682355
292	0.4221123656
293	0.4202725865
294	0.4189838869
295	0.4166954995
296	0.4146266166
297	0.412807871
298	0.4102394069
299	0.4087660421
300	0.4078023342
301	0.4063473754
302	0.4043623358
303	0.4028534766
304	0.4017151939
305	0.4001826152
306	0.3992096912
307	0.3982906393
308	0.3965413081
309	0.3957355126
310	0.3945950898
311	0.3932939429
312	0.3918278671
313	0.3902187096
314	0.387711075
315	0.3861280487
316	0.3845911476
317	0.3831825423
318	0.3814036862
319	0.3803224875
320	0.3790666808
321	0.3782077578
322	0.377634972
323	0.3761654576
324	0.3749796596
325	0.3733888072
326	0.3718677788
327	0.369851236
328	0.3677077214
329	0.3665767508
330	0.3653843597
331	0.3634909585
332	0.3616840252
333	0.3605289198
334	0.3595056079
335	0.3577352514
336	0.356447725
337	0.3549508789
338	0.3536820614
339	0.351969187
340	0.3498380122
341	0.3484143835
342	0.3472080969
343	0.3463100483
344	0.3451288096
345	0.3439121383
346	0.3424404576
347	0.3415309141
348	0.340402935
349	0.3388706374
350	0.3374676386
351	0.3358522547
352	0.3341806641
353	0.3331574094
354	0.3317870006
355	0.3304625058
356	0.328627425
357	0.3280152896
358	0.3265184425
359	0.3255469166
360	0.3245762394
361	0.3235931261
362	0.3227549449
363	0.3216573935
364	0.3204829849
365	0.3190704577
366	0.3178408754
367	0.3168021991
368	0.3163190948
369	0.3149702537
370	0.3142455179
371	0.3129932958
372	0.3116154768
373	0.3103967116
374	0.3090668515
375	0.3080729684
376	0.3068643438
377	0.3059656497
378	0.3050957552
379	0.3043045244
380	0.3038252882
381	0.3024309454
382	0.3012988297
383	0.300370526
384	0.2992447174
385	0.298613394
386	0.2976196044
387	0.2966440146
388	0.2949327689
389	0.293544657
390	0.292452773
391	0.2915871459
392	0.2904555256
393	0.289360202
394	0.2884901147
395	0.2877734232
396	0.2866914353
397	0.2858508152
398	0.28511198
399	0.2838874694
